Raw Angle, Time, Match Flag, Started
3703, 6187, 0, 1
3703, 6188, 0, 1
3703, 6189, 0, 1
3703, 6190, 0, 1
3703, 6191, 0, 1
3703, 6192, 0, 1
3703, 6193, 0, 1
3703, 6194, 0, 1
3703, 6195, 0, 1
3703, 6196, 0, 1
3702, 6197, 0, 1
3702, 6198, 0, 1
3702, 6199, 0, 1
3702, 6200, 0, 1
3702, 6201, 0, 1
3703, 6202, 0, 1
3703, 6203, 0, 1
3703, 6204, 0, 1
3703, 6205, 0, 1
3703, 6206, 0, 1
3703, 6207, 0, 1
3703, 6208, 0, 1
3702, 6209, 0, 1
3702, 6210, 0, 1
3702, 6211, 0, 1
3702, 6212, 0, 1
3702, 6213, 0, 1
3703, 6214, 0, 1
3703, 6215, 0, 1
3703, 6216, 0, 1
3702, 6217, 0, 1
3702, 6218, 0, 1
3702, 6219, 0, 1
3703, 6220, 0, 1
3703, 6221, 0, 1
3702, 6222, 0, 1
3702, 6223, 0, 1
3703, 6224, 0, 1
3703, 6225, 0, 1
3703, 6226, 0, 1
3703, 6227, 0, 1
3703, 6228, 0, 1
3703, 6229, 0, 1
3702, 6230, 0, 1
3703, 6231, 0, 1
3703, 6232, 0, 1
3703, 6233, 0, 1
3703, 6234, 0, 1
3703, 6235, 0, 1
3703, 6236, 0, 1
3703, 6237, 0, 1
3702, 6238, 0, 1
3702, 6239, 0, 1
3703, 6240, 0, 1
3703, 6241, 0, 1
3703, 6242, 0, 1
3703, 6243, 0, 1
3703, 6244, 0, 1
3703, 6245, 0, 1
3703, 6246, 0, 1
3703, 6247, 0, 1
3703, 6248, 0, 1
3703, 6249, 0, 1
3703, 6250, 0, 1
3703, 6251, 0, 1
3703, 6252, 0, 1
3703, 6253, 0, 1
3703, 6254, 0, 1
3702, 6255, 0, 1
3703, 6256, 0, 1
3703, 6257, 0, 1
3703, 6258, 0, 1
3703, 6259, 0, 1
3703, 6260, 0, 1
3703, 6261, 0, 1
3703, 6262, 0, 1
3703, 6263, 0, 1
3703, 6264, 0, 1
3703, 6265, 0, 1
3703, 6266, 0, 1
3703, 6267, 0, 1
3703, 6268, 0, 1
3703, 6269, 0, 1
3703, 6270, 0, 1
3703, 6271, 0, 1
3703, 6272, 0, 1
3703, 6273, 0, 1
3703, 6274, 0, 1
3703, 6275, 0, 1
3703, 6276, 0, 1
