=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.02 16:40:11 =~=~=~=~=~=~=~=~=~=~=~=
182343888.00,---------
Raw Input, Angle, Time, Started
1538,134.95,5324549.00,1
1555,136.53,5326384.00,1
1573,138.11,5328219.00,1
1590,139.60,5330041.00,1
1606,141.10,5331864.00,1
1624,142.59,5333683.00,1
1641,144.00,5335517.00,1
1658,145.58,5337336.00,1
1675,147.08,5339160.00,1
1691,148.48,5340985.00,1
1710,150.07,5342823.00,1
1726,151.56,5344651.00,1
1745,153.05,5346479.00,1
1760,154.64,5348292.00,1
1779,156.04,5350120.00,1
1795,157.71,5351941.00,1
1813,159.12,5353772.00,1
1831,160.79,5355579.00,1
1848,162.20,5357413.00,1
1866,163.87,5359231.00,1
1883,165.27,5361064.00,1
1901,166.95,5362900.00,1
1919,168.44,5364727.00,1
1935,169.93,5366558.00,1
1955,171.60,5368379.00,1
1971,173.10,5370210.00,1
1990,174.68,5372034.00,1
2006,176.18,5373854.00,1
2025,177.76,5375671.00,1
2042,179.43,5377513.00,1
2061,180.84,5379346.00,1
2079,182.59,5381170.00,1
2096,184.00,5383005.00,1
2114,185.67,5384826.00,1
2131,187.08,5386650.00,1
2149,188.75,5388475.00,1
2167,190.24,5390309.00,1
2184,191.82,5392136.00,1
2203,193.41,5393961.00,1
2219,194.90,5395797.00,1
2239,196.57,5397617.00,1
2255,198.07,5399448.00,1
2274,199.65,5401270.00,1
2290,201.23,5403110.00,1
2309,202.81,5404944.00,1
2327,204.40,5406771.00,1
2344,205.80,5408608.00,1
2363,207.38,5410427.00,1
2379,208.97,5412253.00,1
2398,210.55,5414073.00,1
2414,212.04,5415908.00,1
2431,213.54,5417726.00,1
2449,215.21,5419562.00,1
2467,216.62,5421401.00,1
2485,218.29,5423225.00,1
2501,219.60,5425063.00,1
2519,221.27,5426873.00,1
2537,222.77,5428714.00,1
2554,224.26,5430546.00,1
2572,225.85,5432371.00,1
2588,227.34,5434212.00,1
2607,229.01,5436037.00,1
2623,230.42,5437864.00,1
2642,232.09,5439698.00,1
2658,233.49,5441520.00,1
2676,235.08,5443349.00,1
2693,236.57,5445175.00,1
2710,238.07,5447017.00,1
2729,239.65,5448845.00,1
2745,241.14,5450668.00,1
2764,242.64,5452502.00,1
2780,244.22,5454329.00,1
2798,245.71,5456161.00,1
2815,247.38,5457977.00,1
2833,248.79,5459813.00,1
2850,250.37,5461636.00,1
2868,251.87,5463465.00,1
2886,253.54,5465299.00,1
2903,254.95,5467123.00,1
2920,256.53,5468957.00,1
2938,258.11,5470781.00,1
2955,259.60,5472621.00,1
2974,261.27,5474450.00,1
2990,262.68,5476278.00,1
3009,264.35,5478120.00,1
3026,265.76,5479951.00,1
3044,267.43,5481784.00,1
3062,269.01,5483620.00,1
3078,270.42,5485450.00,1
3097,272.09,5487284.00,1
3114,273.49,5489120.00,1
3132,275.16,5490952.00,1
3150,276.66,5492781.00,1
3167,278.24,5494625.00,1
3185,279.82,5496455.00,1
3201,281.23,5498280.00,1
3220,282.90,5500117.00,1
3236,284.31,5501937.00,1
3255,285.98,5503774.00,1
3272,287.38,5505599.00,1
3289,288.97,5507439.00,1
3307,290.46,5509268.00,1
3323,291.96,5511096.00,1
3342,293.54,5512934.00,1
3358,295.03,5514767.00,1
3376,296.53,5516595.00,1
3393,298.11,5518435.00,1
3410,299.60,5520269.00,1
3428,301.10,5522102.00,1
3444,302.59,5523940.00,1
3463,304.18,5525771.00,1
3478,305.58,5527604.00,1
